,Year,Month,ET_fill,ppt,eto_hargreaves,aet,def,pr,pet,ro,delta,pr_delta,ratio_budyko_hargreaves_Fu,aet_budyko_Fu,ratio_budyko_hargreaves_Turc-pike,aet_budyko_Turc-pike,ratio_budyko_hargreaves_Zhang,aet_budyko_Zhang,ratio_budyko_hargreaves_wang-Tang,aet_budyko_wang-Tang
64,2015,12,9.455224609814287,50.994,15.941156276233787,27.9,0.0,55.0,29.200000000000003,3.0,24.6,26.394,0.46825193947801824,12.359041690582814,0.461966059366707,12.193132170924864,0.42733858721319673,11.279174670905114,0.4744235520811235,12.521935233629174
65,2016,1,10.72922957257327,61.952,16.909991919240625,33.300000000000004,0.0,85.0,33.800000000000004,4.0,47.0,14.951999999999998,0.6716653201530727,10.042739866928741,0.659687826694739,9.863652384739737,0.6197403646171311,9.266357931755342,0.6837538892907429,10.223488152675186
66,2016,2,9.007099019709619,2.174,11.4509197007113,30.5,27.9,11.0,59.1,1.0,-16.900000000000006,19.074000000000005,0.46629885997252174,8.894184455115882,0.4600856711722133,8.775674091938798,0.4255850696170044,8.117609617874743,0.4723953970427529,9.010469803193471
67,2016,3,22.223943063505747,100.28399999999999,26.907551647972802,78.10000000000001,16.15,74.0,95.6,4.0,-1.2000000000000028,101.484,0.2418265564060691,24.541526250313513,0.24180554215721312,24.539393640282615,0.22634014307094397,22.969903079411676,0.2418115050517237,24.539998778669126
68,2016,4,10.546810126072375,27.98,14.455289842520683,44.85,93.85,26.0,138.3,1.0,-16.900000000000006,44.88000000000001,0.2864437900296972,12.855597296532814,0.2857016236805552,12.82228887078332,0.2660799957763496,11.941670210442574,0.2871093805311429,12.885468998237695
69,2016,5,1.812366694573182,0.708,8.210824959112166,15.0,161.05,6.0,177.8,0.0,-8.8,9.508000000000001,0.5861626604408523,5.573234575471624,0.5757870240586365,5.474583024749516,0.5358366531993459,5.0947348986193814,0.5966256575027435,5.672716751536086
72,2016,10,8.936654568327835,73.2,12.688726989443666,37.1,61.7,37.0,101.9,2.0,-1.3999999999999986,74.6,0.16131139838079211,12.033830319207091,0.1618392050485239,12.073204696619882,0.1535273903752532,11.453143321993888,0.16077322936248173,11.993682910441136
73,2016,11,8.60399116069306,28.4,5.934286444913473,32.150000000000006,22.200000000000003,33.0,55.05,2.0,-0.4000000000000057,28.800000000000004,0.19265069315278627,5.548339962800245,0.19307409773013376,5.560534014627853,0.182077650693085,5.243836339960849,0.1922157034600564,5.535812259649625
74,2016,12,5.666275256105143,46.482,6.551128980040575,34.1,0.0,60.0,35.9,3.0,22.45,24.032,0.24782661022928076,5.955769097030076,0.247726396688424,5.953360765216206,0.2317038854826035,5.568307775917928,0.24788607220432374,5.957198087214308
75,2017,1,16.879907429466883,174.53999999999996,16.96211112111797,33.5,0.0,131.0,33.5,7.0,72.75,101.78999999999996,0.15824815649847102,16.108079849979358,0.15877943107157008,16.162158288775114,0.15071996910738153,15.34178565544036,0.1577060825316691,16.052902140898592
76,2017,2,11.323113009607708,78.23199999999999,14.985785486308478,44.5,0.0,103.0,44.5,24.0,13.299999999999995,64.93199999999999,0.21359473127013584,13.869133090832458,0.21387273847069402,13.887184654379102,0.20100055024458277,13.051367728481246,0.2132980060931108,13.849866131637869
77,2017,3,14.138064718417956,44.70399999999999,13.228749821016457,71.2,23.4,34.0,95.0,2.0,-27.700000000000003,72.404,0.17242660091877315,12.48437561292285,0.17293209275927218,12.520975244142342,0.16368830191065317,11.851687811538932,0.1719115472332294,12.447083665874741
78,2017,4,18.538563714995895,33.488,18.322108527384824,85.7,37.25,50.0,125.0,3.0,-26.3,59.788,0.27446541663790014,16.409738329946773,0.2739467528644862,16.3787284602619,0.2554411052534415,15.27231280089276,0.2749193919145667,16.436880603788115
79,2017,5,5.512222367736696,2.54,4.568308447353936,33.400000000000006,151.85000000000002,5.0,185.6,0.0,-28.15,30.689999999999998,0.14231537249532922,4.367658781881653,0.1428471540321001,4.383979157245152,0.1360651387269219,4.175839107529233,0.14176921416343607,4.350897182675853
80,2017,6,2.58366267552812,0.7,4.053282643299437,14.05,198.2,2.0,213.6,0.0,-11.9,12.6,0.28614110165981343,3.605377880913649,0.28540485009568695,3.5961011112056553,0.2658113816797255,3.349223409164541,0.28680108243506763,3.613693638681852
83,2017,9,3.7335046836377597,0.762,4.614203365933914,8.9,150.6,6.0,161.4,0.0,-2.8000000000000007,3.5620000000000007,0.7113616706699355,2.5338702709263106,0.6994207659100786,2.4913367681717005,0.6609982637164707,2.3544758153580694,0.7233329668405469,2.5765120278860287
84,2017,10,2.9367238696070928,2.794,1.9225881311076212,7.0,106.7,4.0,116.35,0.0,-2.1000000000000005,4.894,0.33808213531926046,1.6545739702524607,0.3361362895503926,1.6450510010596213,0.3117847924146169,1.525874774077135,0.33990130138008684,1.663476968954145
85,2017,11,7.388133344415313,13.716000000000001,5.824263281428376,32.7,22.15,33.0,56.7,2.0,-0.4000000000000003,14.116000000000001,0.35175489693754036,4.965372125170321,0.3494294624569246,4.932546292041948,0.3238644031171838,4.571669914402166,0.3539429555001247,4.996258759839761
86,2017,12,0.9195889222313407,2.566,2.1162464646382704,3.7,37.7,2.0,41.7,0.0,-1.6000000000000003,4.166,0.4133371115844007,1.7219624068606134,0.4090439754513252,1.704077201730221,0.378348229441606,1.5761987238537307,0.41747537655633704,1.7392024187337003
87,2018,1,7.0783202869153845,58.92799999999999,11.638073681348043,32.2,0.0,46.0,37.25,2.0,6.349999999999998,52.57799999999999,0.2056603946693658,10.813212230925913,0.20600096043954633,10.831118497990465,0.19384541928496724,10.192004455165005,0.2053044182527828,10.794495702894812
88,2018,2,5.450234295192407,6.4,5.323359239626582,8.4,47.650000000000006,6.0,56.95,0.0,-2.3000000000000007,8.700000000000001,0.47247983782403336,4.110574589069091,0.46603644832652796,4.054517100440794,0.43113794967096225,3.750900162137372,0.47881433821749175,4.165684742492179
89,2018,3,32.58603513257253,85.4,29.684035306858416,75.5,3.5,82.0,81.80000000000001,4.0,0.2000000000000028,85.2,0.3061389143551556,26.08303550305926,0.3049826153567873,25.984518828398276,0.2835364935343413,24.15730924912588,0.3071986601910643,26.17332584827868
