date,rh,RH_1_1_1,H,sw_in,WS_1_2_1,theta_6,theta_3,theta_1,theta_5,lw_out,LE,WD_1_1_1,wd,theta_4,ws,sw_out,WS_1_1_1,Rn,RH_1_2_1,lw_in,t_avg,theta_mean,G,WD_1_2_1,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2004-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.193871650613,,,1.0340204302684388,0.9670988799905946,,,0.9670988799905946,,,,,7.7000003,5.4,3.0,,,,False,
2004-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.84373718087414,,,1.0340011631494912,0.9671169004820788,,,0.9671169004820788,,,,,5.1,3.5,12.8,,,,False,
2004-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.4754445663857,,,1.0337144938769651,0.967385100937766,,,0.967385100937766,,,,,4.5,3.4,12.900001,,,,False,
2004-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.08857517218064,,,1.0337519832852526,0.967350018349673,,,0.967350018349673,,,,,4.0,3.1000001,5.6,,,,False,
2004-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.68272859601575,,,1.034231653720163,0.9669013672159128,,,0.9669013672159128,,,,,3.6000001000000004,2.9,2.6000001,,,,False,
2004-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.2575227084562,,,1.0350436765783626,0.9661428040464828,,,0.9661428040464828,,,,,3.9,2.9,0.0,,,,False,
2004-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.81259366387434,,,1.0361788811863817,0.9650843287358276,,,0.9650843287358276,,,,,6.0,4.6,0.0,,,,False,
2004-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.3475958825928,,,1.0368606197312789,0.964449783288296,,,0.964449783288296,,,,,6.7000003,5.0,0.0,,,,False,
2004-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.8622020044636,,,1.0377022048178683,0.9636676065225422,,,0.9636676065225422,,,,,6.5,4.9,0.3,,,,False,
2004-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.35610281424647,,,1.0385477532046117,0.9628830228695154,,,0.9628830228695154,,,,,7.2000003,5.2000003,1.8000001,,,,False,
2004-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.82900713920816,,,1.0393113281134032,0.9621755993127076,,,0.9621755993127076,,,,,7.3,5.2000003,2.6000001,,,,False,
2004-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.28064171943475,,,1.0403385168362975,0.9612255855344388,,,0.9612255855344388,,,,,7.1,5.2000003,0.0,,,,False,
2004-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.71075105140363,,,1.0424046468633408,0.9593203589499154,,,0.9593203589499154,,,,,7.8,5.7000003,0.0,,,,False,
2004-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.11909720542826,,,1.0438535217961598,0.9579888165528234,,,0.9579888165528234,,,,,9.0,6.4,0.0,,,,False,
2004-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.5054596176382,,,1.0451789268545957,0.9567739784129032,,,0.9567739784129032,,,,,9.0,6.4,0.0,,,,False,
2004-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.86963485722237,,,1.046375573961692,0.9556798007181028,,,0.9556798007181028,,,,,9.8,6.8,0.0,,,,False,
2004-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.21143636970584,,,1.047443732150078,0.9547052212029656,,,0.9547052212029656,,,,,9.8,6.6,0.0,,,,False,
2004-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.53069419708766,,,1.0477121378035368,0.9544606423062328,,,0.9544606423062328,,,,,6.9,5.2000003,0.0,,,,False,
2004-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.8272546757139,,,1.0484850019826402,0.9537570858038434,,,0.9537570858038434,,,,,9.6,6.7000003,0.0,,,,False,
2004-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.10098011280064,,,1.0490119325580485,0.9532780028168688,,,0.9532780028168688,,,,,8.7,6.1,0.0,,,,False,
2004-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.3517484425675,,,1.049711756409883,0.9526424696052732,,,0.9526424696052732,,,,,9.7,6.8,0.0,,,,False,
2004-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.57945286297934,,,1.0501945651461888,0.9522045087529076,,,0.9522045087529076,,,,,11.1,7.5,0.0,,,,False,
2004-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.7840014541267,,,1.0516195063158813,0.9509142745965992,,,0.9509142745965992,,,,,7.8,5.7000003,0.0,,,,False,
2004-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.9653167793112,,,1.0521329939145496,0.9504501862254272,,,0.9504501862254272,,,,,7.3,5.5,0.0,,,,False,
2004-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.1233354699281,,,1.0523767735881708,0.9502300175158868,,,0.9502300175158868,,,,,7.3,5.6,0.0,,,,False,
2004-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.2580077952597,,,1.0522476518898902,0.950346620592547,,,0.950346620592547,,,,,11.900001,8.0,0.0,,,,False,
2004-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.36929721832286,,,1.0515540635854903,0.9509734540802344,,,0.9509734540802344,,,,,9.400001,6.5,0.0,,,,False,
2004-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.4571799389213,,,1.0510251879752637,0.9514519836831308,,,0.9514519836831308,,,,,10.5,7.4,0.0,,,,False,
2004-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.5216444250751,,,1.05184504895034,0.9507103741163424,,,0.9507103741163424,,,,,12.8,8.5,0.0,,,,False,
2004-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.5626909340024,,,1.052068421290897,0.9505085218440368,,,0.9505085218440368,,,,,9.1,6.5,0.0,,,,False,
2004-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.58033102384286,,,1.0520226978404348,0.9505498332429276,,,0.9505498332429276,,,,,9.1,6.5,0.0,,,,False,
2004-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.57458705730596,,,0.9838865754702126,0.9507018199228005,,,1.0163773192271544,,,,,11.3,7.8,0.0,,,,False,
