date,rh,sw_in,H,sw_out,Rn,theta_1,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2018-02-27,50.50243641479168,193.21437499999996,-13.675565994895836,107.64993749999998,6.128124999999992,,1.9107838255208331,164.65833333333333,-10.2886167575,,242.94375,1.1462719369375003,245.86544536875,-13.45149224,-7.490795069,0.0,48.0,0.0,0.0,0.0,195.97442403207225,-12.529294057958332,,1.590613897434732,0.6286880817606041,-19.929269253634935,1.8232760731322168,0.6286880817606041,,-21.752545326767148,0.03921840244009408,0.06238133595640185,1.4,1.1,0.0,0.056710305414910775,0.26813011597190706,0.2949431275690978,False,
2018-02-28,59.39982842104168,141.6884583333334,-22.82470573638541,90.93989583333332,0.4947291666666607,,3.6450800006875004,224.73958333333337,-6.206623136416668,,274.40416666666664,9.675856637531252,166.73870339166672,-8.960119837,-3.688860855,0.0,48.0,1.0,0.0,1.0,198.32524383065396,-13.148849098854162,,1.5977820052509657,0.6258676069160817,-21.008994479909553,15.45990962083555,0.6258676069160817,,-36.4689041007451,0.33231679220415034,0.5309697906265157,2.3,1.6,2.9,0.3318561191415723,0.28265403706767256,0.4522464593082761,False,
2018-03-01,91.89858577333332,91.42843750000002,-33.757624239708335,78.4525625,-7.308166666666665,,7.5510091685625,277.33125,-2.751937598041668,,297.2125,,139.21712638541666,-5.5024183870000005,0.7414274000000001,0.0,48.0,2.0,35.29999999999999,9.0,200.6908104415394,,,1.6010802696753517,0.6245783043736889,,10.33546967568744,0.6245783043736889,,-54.048666121311435,,0.35612583558679606,2.1000001,1.5,7.4,,0.2374172237245307,0.35612583558679606,True,0.35612583558679606
2018-03-02,66.99728615416666,194.93320833333325,-26.758276636854173,121.738,15.278166666666666,,3.7116318821666656,223.41250000000005,-4.920487010916665,,280.6208333333334,10.520546729812503,201.6204908875,-7.571421767999999,-0.41626983,0.0,48.0,0.0,1.1000000000000003,0.0,203.0702445924237,-16.237729907041658,,1.6004604867103045,0.6248201741334259,-25.98784511009437,16.837719339654218,0.6248201741334259,,-42.825564449748576,0.3617643038473172,0.5789894738098916,2.0,1.4,0.0,0.4135639098642083,0.2058959261570276,0.2882542966198386,False,
2018-03-03,72.93006544479167,155.92070833333338,-5.2523317543541665,110.2688958333333,8.395083333333334,,2.659276018666666,234.9625,-6.2611865184375,,271.575,6.805272694072915,194.8795209833333,-8.818558312999999,-4.891738468,0.0,48.0,1.0,0.0,2.0,205.46265996169862,1.5529409397187477,,1.6037698301101737,0.6235308715910333,2.490559827063869,10.914091032426725,0.6235308715910333,,-8.423531205362854,0.2337147678916363,0.3748246935958082,1.4,1.1,0.0,0.34074972145073473,0.2447615687918613,0.2692377256710474,False,
2018-03-04,76.58714669291666,158.89766666666668,-18.73698555410417,115.81749999999997,-10.125770833333334,,3.1224738974791664,216.1083333333333,-6.866867745166665,,268.02500000000003,0.8013957300833333,281.428322125,-8.076683406,-5.097184908,0.0,48.0,0.0,0.0,1.0,207.8671638985487,-17.935589824020838,,1.6070928876206765,0.6222415690486405,-28.824158841465653,1.2879173779865043,0.6222415690486405,,-30.112076219452163,0.027506849847789453,0.04420606275123232,1.3000001,1.0,0.0,0.04420606275123232,0.22734265872191906,0.22734265872191906,False,
2018-03-05,61.66427604895837,215.34854166666668,-24.543771980312496,125.84268749999997,13.779104166666661,,1.6856507385416666,192.28958333333333,-5.268049250354167,,267.12291666666664,1.3172146360208332,236.17960538333332,-7.952913535,-2.82722948,0.0,48.0,0.0,0.0,0.0,210.2828581527075,-23.226557344291663,,1.4930627234341032,0.669764226448545,-34.678706964466464,1.9666840718045264,0.669764226448545,,-36.645391036271,0.04527955362238381,0.06760521364731688,1.8000001,1.4,0.0,0.04828943831951206,0.2995815642170073,0.4194141899038101,False,
2018-03-06,43.83121134958333,213.56229166666668,-36.97325046854168,121.31020833333336,7.844854166666669,,4.028127678625,193.6791666666666,-1.9632142554375,,277.2,11.661248306885419,138.977225825,-4.8760172310000005,1.195539609,0.0,48.0,2.0,0.0,2.0,212.70883961230052,-25.31200216165626,,1.441927723643196,0.6935160366244885,-36.498077657808665,16.814677225985367,0.6935160366244885,,-53.31275488379404,0.4021063697859094,0.5798083224478255,2.8,2.0,4.0,0.2899041612239128,0.2713561719663747,0.5427123439327494,False,
2018-03-07,42.402100809791655,187.1340208333333,,109.56847916666663,15.424812500000016,,5.052344925270833,232.63125,0.9786862589375,,294.10208333333327,,130.80340720833337,-1.51993092,3.449301154,0.0,48.0,6.0,0.0,6.0,215.14420104818282,,,1.419796936946644,0.7043260722554862,,14.704711139443093,0.7043260722554862,,,,0.5084613886938988,3.0,2.1000001,0.0,,0.2421244592768823,0.5084613886938988,True,0.5084613886938988
2018-03-08,46.92147502708333,165.06487500000003,-43.75496797808332,93.44893750000004,24.974020833333327,,2.674212984104168,264.5125000000001,3.775769422229167,,310.48541666666665,36.56689530677081,229.68434131541665,1.631017828,5.891566021,0.0,48.0,0.0,1.9,0.0,217.58803186317382,-7.188072671312503,,1.4072756609049049,0.7105928339277757,-10.115599719153792,51.45970176007639,0.7105928339277757,,-61.57530147923018,1.2677654400861336,1.7840954475696114,4.0,2.7,0.0,0.6607760916924486,0.31659300788529593,0.8548011212902991,False,
