date,H,sw_out,sw_in,LE,theta_1,ws,rh,wd,G,Rn,t_avg,t_min,t_max,LE_subday_gaps,H_subday_gaps,Rn_subday_gaps,G_subday_gaps,rso,flux,energy,flux_corr,ebr_5day_clim,LE_corr,H_corr,ebc_cf,ebr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2006-05-05,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,350.1791617854025,,,,0.8546019805018659,,,1.1701353645503478,,0.8546019805018659,,,6.9,5.3,0.0,,,,False,
2006-05-06,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,351.1966742051519,,,,0.8500154167879113,,,1.176449250507549,,0.8500154167879113,,,6.7000003,5.2000003,1.5,,,,False,
2006-05-07,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,352.18981443561034,,,,0.8455808951406582,,,1.1826189614107294,,0.8455808951406582,,,7.2000003,5.7000003,0.0,,,,False,
2006-05-08,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,353.1586028510116,,,,0.8448125946145755,,,1.183694474223866,,0.8448125946145755,,,8.8,6.6,0.0,,,,False,
2006-05-09,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,354.1030680446506,,,,0.8440442940884929,,,1.1847719450315437,,0.8440442940884929,,,6.7000003,5.5,0.0,,,,False,
2006-05-10,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,355.02324633962684,,,,0.8437573778399994,,,1.1851748218901248,,0.8437573778399994,,,7.7000003,6.1,0.0,,,,False,
2006-05-11,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,355.9191813004689,,,,0.8434704615915056,,,1.1855779728351672,,0.8434704615915056,,,8.900001,6.8,0.0,,,,False,
2006-05-12,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,356.7909232466967,,,,0.8431835453430119,,,1.1859813981464669,,0.8431835453430119,,,9.7,7.2000003,0.0,,,,False,
2006-05-13,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,357.63852876933413,,,,0.8424731998289068,,,1.1869813784024044,,0.8424731998289068,,,9.400001,7.0,0.0,,,,False,
2006-05-14,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,358.4620602513607,,,,0.8436286368597425,,,1.185355684134102,,0.8436286368597425,,,8.5,6.6,0.0,,,,False,
2006-05-15,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,359.2615853930384,,,,0.8449604856489205,,,1.1834872955414133,,0.8449604856489205,,,8.5,6.5,0.0,,,,False,
2006-05-16,,,,,,,,,,,,22.96,25.48,48.0,48.0,40.0,48.0,360.0371767430212,,,,0.8475851323111541,31.771120093346124,,1.1798224884776451,,0.8475851323111541,,1.1186922935491792,8.8,6.8,0.0,,0.16451357258076166,1.1186922935491792,True,1.1186922935491792
2006-05-17,,45.231875,313.49104166666666,,,,19.955625,,,161.90979166666662,25.795625,21.5,29.7,32.0,32.0,0.0,48.0,360.7889112360977,,,,0.8486322163948082,31.0225169662698,,1.1783667655798389,,0.8486322163948082,,1.0984587837483,10.0,7.5,0.0,,0.14646117116644,1.0984587837483,True,1.0984587837483
2006-05-18,97.5695833333333,41.20145833333333,293.6514583333334,24.221875000000008,,1.6772916666666668,28.944166666666664,118.12333333333328,,146.030625,25.36208333333333,21.31,28.81,0.0,0.0,0.0,48.0,361.516869738385,121.79145833333332,,143.07251267960962,0.8512568630570417,28.454249300280736,114.61826337932888,1.1747335538756076,,0.8512568630570417,0.8572990660239926,1.007097978564604,10.8,7.9,0.0,0.12748075678032966,0.13982828146130605,1.104643423544318,False,
2006-05-19,119.245,52.83895833333335,354.7475,38.46895833333335,,3.4370833333333333,24.692083333333343,227.2783333333333,,172.67937500000005,24.075833333333332,19.38,29.53,0.0,0.0,0.0,48.0,362.22113660073,157.71395833333338,,184.6618431531998,0.8540690141519391,45.04197868778987,139.61986446540993,1.1708655664003516,,0.8540690141519391,1.3598627493218185,1.59221646821143,11.1,7.9,0.0,0.20154638838119368,0.14584598344201605,1.152183269191927,False,
2006-05-20,119.61395833333331,53.20666666666668,356.7750000000001,19.567499999999995,,3.5481250000000006,21.506458333333335,230.9489583333333,,177.36749999999995,22.38625,17.72,27.14,0.0,0.0,0.0,48.0,362.901799221037,139.1814583333333,,162.36405286547026,0.8572184290611093,22.826737429609164,139.53731543586107,1.166563813957285,,0.8572184290611093,0.6905764427349314,0.8056014888659159,10.1,7.3,0.0,0.11035636833779673,0.14026572280169494,1.023939776452373,False,
