date,lw_in,theta_2,sw_in,t_avg,es,ws,wd,theta_mean,Rn,t_dew,H,sw_out,lw_out,vp,LE,theta_1,vpd,rh,G,t_min,t_max,LE_subday_gaps,H_subday_gaps,Rn_subday_gaps,ppt,G_subday_gaps,ASCE_ETo,rso,flux,energy,flux_corr,ebr_5day_clim,LE_corr,H_corr,ebc_cf,ebr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2008-04-29,292.1666666666667,18.13125,310.9375,15.195854166666667,1.9902309401260163,3.4462500000000005,166.02083333333334,15.87513541666666,147.4375,13.977218673250814,,52.91666666666666,402.85416666666674,1.8561121901260167,,13.61902083333333,0.13411874999999998,45.30210416666667,20.08333333333333,0.0,27.3,1.0,1.0,0.0,0.0,0.0,3.627386360595485,325.7615786007276,,127.35416666666669,,0.7303973521026986,62.3031299929181,,1.371496124117078,,0.7291307517502214,,2.1836603408324007,7.7000003,5.5,0.0,,0.3970291528786184,2.1836603408324007,True,2.1836603408324007
2008-04-30,314.2291666666667,17.83125,256.0625,16.254166666666666,1.8898287584470292,6.4733333333333345,254.89583333333331,15.39175,123.1875,15.104232861665508,33.0625,44.3125,403.0625,1.7856245917803626,38.75,12.95225,0.1042041666666667,46.85416666666666,13.645833333333336,9.9,21.6,0.0,0.0,0.0,0.0,0.0,2.5787449369769337,327.47014953638785,71.8125,109.54166666666669,98.96497501647265,0.7278240686702527,53.40146606632989,45.563508950142754,1.378102350098836,0.6555724610117916,0.7256355088054826,1.3595254975824491,1.873565283237662,7.2000003,5.2000003,0.0,0.3603009952206469,0.3970291528786184,2.0645517140775613,False,
2008-05-01,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,329.1496454914781,,,,0.7249640009791913,15.813760190056751,,1.378102350098836,,0.7256355088054826,,0.5568180034155072,1.5,1.2,32.8,,0.4640150028462561,0.5568180034155072,True,0.5568180034155072
2008-05-02,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,330.7997257185258,,,,0.722767258988982,29.206712489223328,,1.378102350098836,,0.7256355088054826,,1.0283969871255354,2.7,1.8000001,4.4,,0.5713316277735403,1.0283969871255354,True,1.0283969871255354
2008-05-03,,,,,,,,,,,,,,,,,,,,1.9,12.9,2.0,2.0,0.0,,0.0,,332.4200613693121,,,,0.7200184956549099,49.164321925091045,,1.378102350098836,,0.7256355088054826,,1.7311239859840193,3.6000001000000004,2.8,0.0,,0.618258566422864,1.7311239859840193,True,1.7311239859840193
2008-05-04,265.3958333333333,29.06041666666667,336.8333333333333,10.2875,1.3493961873379463,3.029999999999999,278.1875,26.744791666666657,173.45833333333337,9.401444829303207,56.47916666666666,56.5,372.20833333333326,1.2803420206712794,58.60416666666666,24.42916666666666,0.06905416666666668,58.18131250000001,16.375,1.1,18.1,0.0,0.0,0.0,0.0,0.0,3.0464555356835104,334.010335221395,115.08333333333331,157.08333333333334,158.59661212387437,0.7176316613624795,80.76253980891718,77.83407231495717,1.378102350098836,0.7326259946949601,0.7256355088054826,2.0444046824857667,2.8173988974866986,5.5,4.1,0.0,0.6871704628016341,0.7280970490287744,2.9851979010179748,False,
2008-05-05,287.0416666666667,28.298291666666657,331.9375,15.195833333333335,1.8493287660911568,2.4343750000000006,172.625,25.73775,166.58333333333334,14.072714586456295,36.083333333333336,54.27083333333334,398.1875,1.7396787660911568,62.35416666666666,23.17720833333333,0.10965,48.83541666666667,22.47916666666667,4.9,23.1,0.0,0.0,0.0,0.0,0.0,3.6639724401723677,335.5702414004245,98.4375,144.10416666666669,144.10416666666669,0.7150475922889398,91.28122134038804,52.82294532627867,1.4639153439153438,0.6830996096573658,0.6830996096573658,2.185449079914183,3.1993124414320437,6.4,4.8,0.0,0.6665234252983425,0.7280970490287744,3.494865835338117,False,
2008-05-06,321.3125,27.54435416666667,261.7916666666667,15.727083333333333,1.8559837285952168,4.481458333333333,182.41666666666663,24.88577083333334,144.0625,14.817502507638595,20.64583333333333,42.41666666666666,396.52083333333326,1.7765670619285503,80.9375,22.2271875,0.07941666666666668,61.66254166666669,16.6875,7.3,23.0,3.0,3.0,0.0,1.6,0.0,2.8936941489659675,337.0994850995494,101.58333333333331,127.375,149.41817593790424,0.7119900563455404,119.05037192755495,30.367804010349282,1.4708926261319533,0.7975139025188093,0.6798592788038699,2.83821981895304,4.1747166030395935,7.4,5.5,1.6,0.7590393823708351,0.7280970490287744,4.004533769658258,False,
2008-05-07,321.0208333333333,26.571229166666654,261.3958333333333,11.637499999999998,1.4239007218893496,2.9877083333333334,125.375,23.76167708333333,154.47916666666666,10.952956608550462,42.020833333333336,42.47916666666666,385.54166666666674,1.3762403052226828,54.60416666666666,20.952125000000006,0.047660416666666684,71.3,11.5,3.8,17.6,4.0,4.0,0.0,1.4,0.0,2.4556137974460683,338.59778229718916,96.625,142.97916666666666,141.78710864725858,0.7088755204805467,80.12591887978974,61.66118976746886,1.467395691045367,0.6757977560833455,0.6814794442306178,1.9073193800652088,2.798792239755008,4.3,3.5,2.9,0.7996549256442879,0.7280970490287744,2.5483396716007105,False,
2008-05-08,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,340.06485947441985,,,,0.7067916898761414,23.172122865026626,,1.4519210541776062,,0.6887426813756192,,0.8159131688816033,1.1,1.1,3.6000001000000004,,0.7417392444378211,0.8159131688816033,True,0.8159131688816033
